ProductKey,Product_ID,ProductName,ProductDimensions,ProductDescription,ProductCostPerUnit,ProductPricePerUnit,ProductCategory,ProductConstructionDays,ProductQuantity,ProductColor,ProductSurfaceFinish,ProductCompliance,ProductWeight,Version,RowIsCurrent,RowStartDate,RowEndDate,RowChangeReason
1,1,Cellulose Blown-In Insulation,8.05x0.88x0.81,Write field fly whatever vote next deep a.,20.19,25.61,Insulation,20,694,Ivory,Organization,False,5.22,2004,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
2,2,Designer Paving Stones,3.29x3.14x0.27,Expert south hundred bed modern.,27.16,34.87,Bricks and Blocks,15,882,HoneyDew,Since,True,1.81,2005,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
3,3,Aluminum Roofing Panels,6.05x0.65x0.62,Agency give hotel all arrive.,13.48,26.84,Steel and Metal,6,899,BlanchedAlmond,Mind,False,17.93,2006,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
4,4,Asphalt Shingles,8.42x4.37x0.95,Open tend bar degree who.,37.71,56.13,Roofing,28,782,Cornsilk,Military,False,3.05,2007,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
5,5,Spray Foam Insulation Kit,4.73x1.07x0.66,Among new offer visit.,47.69,66.95,Insulation,13,769,LightPink,Response,True,37.41,2008,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
6,6,Lightweight Concrete Aggregate,1.17x2.68x0.82,We whose what cost father green.,40.56,53.40,Concrete and Cement,10,597,CadetBlue,Price,True,15.32,2009,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
7,7,Architectural Clay Brick,3.27x4.60x0.64,Say inside political possible staff house analysis.,47.21,62.82,Bricks and Blocks,23,27,Moccasin,Leg,False,15.62,2010,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
8,8,High-Strength Concrete Mix,6.08x2.57x0.66,Congress audience about relationship.,23.78,26.74,Concrete and Cement,14,493,MediumPurple,Who,False,39.49,2011,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
9,9,Clay Roof Shingles,7.83x3.99x0.64,Table now player size lay American keep box.,33.40,45.72,Roofing,7,688,CadetBlue,Arm,False,13.79,2012,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
10,10,Insulated Concrete Block,9.43x4.45x0.92,Still entire ability hard dark know.,36.19,40.46,Bricks and Blocks,22,298,MistyRose,Try,True,8.67,2013,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
11,11,Lightweight Concrete Aggregate,1.46x4.76x0.94,Near resource story conference toward design.,44.80,57.13,Concrete and Cement,25,189,FloralWhite,Effort,True,30.96,2014,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
12,12,Rock Wool Insulation,3.38x3.58x0.20,Fly lawyer over his effort black.,21.26,34.47,Insulation,1,648,LightCyan,Doctor,True,24.60,2015,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
13,13,Asphalt Shingles,1.78x3.79x0.82,Middle movement idea.,30.09,44.24,Roofing,2,851,DarkSlateGray,Identify,True,45.93,2016,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
14,14,Asphalt Shingles,2.03x1.72x0.60,Effort head around pass style name.,7.98,21.24,Roofing,22,89,BlueViolet,Memory,True,2.85,2017,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
15,15,Spray Foam Insulation Kit,0.85x3.95x0.18,Picture policy risk.,6.11,9.43,Insulation,1,659,GoldenRod,Maintain,False,26.87,2018,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
16,16,Quick-Set Cement,7.22x4.76x0.29,Bag read after serious rise college total.,47.40,54.05,Concrete and Cement,25,802,Purple,Hair,True,48.93,2019,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
17,17,Insulated Concrete Block,1.02x1.61x0.97,Movie and improve send current foot would anything.,11.34,12.39,Bricks and Blocks,24,367,DarkMagenta,Enjoy,True,48.27,2020,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
18,18,Aluminum Roofing Panels,4.55x2.66x0.35,New opportunity party home.,15.69,19.50,Steel and Metal,17,926,Aquamarine,Listen,False,26.86,2021,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
19,19,High-Strength Concrete Mix,2.59x0.97x0.19,Newspaper thank left star star thousand.,46.49,64.77,Concrete and Cement,19,453,Ivory,House,False,14.57,2022,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
20,20,Spray Foam Insulation Kit,3.90x3.70x0.89,Rich then trade way level two.,10.48,20.54,Insulation,26,772,AliceBlue,Reveal,True,29.35,2023,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
21,21,Insulated Concrete Block,4.42x0.84x0.29,Threat performance strategy.,36.01,41.91,Bricks and Blocks,28,844,LightCyan,Thousand,True,47.41,2024,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
22,22,Clay Roof Shingles,7.58x2.38x0.52,Store baby pull far.,42.75,51.43,Roofing,14,448,SaddleBrown,True,True,39.63,2025,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
23,23,Quick-Set Cement,4.00x1.34x0.45,Now many billion world give then we.,15.68,18.64,Concrete and Cement,7,777,FireBrick,Win,False,6.30,2026,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
24,24,Insulated Concrete Block,6.93x3.71x0.50,Relate strong half what east character do find.,43.94,47.96,Bricks and Blocks,27,469,Orange,Church,True,45.17,2027,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
25,25,Waterproof Cement Coating,6.04x1.49x0.70,Avoid past hospital bed many.,16.92,28.19,Concrete and Cement,2,430,MediumBlue,Light,True,19.01,2028,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
26,26,Cellulose Blown-In Insulation,3.51x2.91x0.15,Sure meet factor century.,49.67,57.74,Insulation,13,674,GreenYellow,Old,True,7.89,2029,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
27,27,Rock Wool Insulation,7.66x2.31x0.22,Face rise question kid development enjoy.,49.27,64.22,Insulation,16,606,NavajoWhite,Same,True,29.48,2030,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
