CustomerKey,ProductKey,DeliveryKey,OrderDateKey,DeliveryDateKey,OrderID,OrderStatus,OrderDate,CancelledDate,Units,Profit,Version
11,53,1,20241218,,1,In Delivery,2024-12-18 00:00:00,,6,87.900000000000006,3766
11,344,1,20241218,,1,In Delivery,2024-12-18 00:00:00,,6,71.459999999999994,3766
93,280,,20241103,,2,In Process,2024-11-03 00:00:00,,3,40.950000000000003,3767
19,242,2,20241127,,3,In Delivery,2024-11-27 00:00:00,,5,97.099999999999994,3768
19,382,2,20241127,,3,In Delivery,2024-11-27 00:00:00,,9,52.469999999999999,3768
73,329,3,20241110,,4,In Delivery,2024-11-10 00:00:00,,6,59.520000000000003,3769
73,478,3,20241110,,4,In Delivery,2024-11-10 00:00:00,,9,17.190000000000001,3769
43,63,4,20240303,20240730,5,Complete,2024-03-03 00:00:00,,1,5.0199999999999996,3770
54,95,,20240318,,6,Cancelled,2024-03-18 00:00:00,2024-08-27 00:00:00,10,135,3771
54,319,,20240318,,6,Cancelled,2024-03-18 00:00:00,2024-08-27 00:00:00,5,10.449999999999999,3771
74,18,,20241014,,7,In Process,2024-10-14 00:00:00,,2,7.6200000000000001,3772
74,31,,20241014,,7,In Process,2024-10-14 00:00:00,,7,100.31,3772
74,122,,20241014,,7,In Process,2024-10-14 00:00:00,,6,108.48,3772
74,386,,20241014,,7,In Process,2024-10-14 00:00:00,,2,26.960000000000001,3772
74,396,,20241014,,7,In Process,2024-10-14 00:00:00,,6,76.980000000000004,3772
23,51,5,20231125,20240305,8,Complete,2023-11-25 00:00:00,,5,53.049999999999997,3773
23,330,5,20231125,20240305,8,Complete,2023-11-25 00:00:00,,5,15.949999999999999,3773
3,52,6,20241113,,9,In Delivery,2024-11-13 00:00:00,,2,17.059999999999999,3774
3,83,6,20241113,,9,In Delivery,2024-11-13 00:00:00,,9,86.939999999999998,3774
3,127,6,20241113,,9,In Delivery,2024-11-13 00:00:00,,6,39.060000000000002,3774
94,213,,20230712,,10,Cancelled,2023-07-12 00:00:00,2023-10-08 00:00:00,2,9.3599999999999994,3775
94,313,,20230712,,10,Cancelled,2023-07-12 00:00:00,2023-10-08 00:00:00,2,14.4,3775
37,8,,20231117,,11,Cancelled,2023-11-17 00:00:00,2024-04-16 00:00:00,8,23.68,3776
37,49,,20231117,,11,Cancelled,2023-11-17 00:00:00,2024-04-16 00:00:00,6,91.200000000000003,3776
37,149,,20231117,,11,Cancelled,2023-11-17 00:00:00,2024-04-16 00:00:00,6,18.059999999999999,3776
37,168,,20231117,,11,Cancelled,2023-11-17 00:00:00,2024-04-16 00:00:00,2,33.600000000000001,3776
37,271,,20231117,,11,Cancelled,2023-11-17 00:00:00,2024-04-16 00:00:00,7,85.400000000000006,3776
22,147,7,20230615,20231029,12,Complete,2023-06-15 00:00:00,,7,121.52,3777
22,215,7,20230615,20231029,12,Complete,2023-06-15 00:00:00,,1,15.06,3777
22,320,7,20230615,20231029,12,Complete,2023-06-15 00:00:00,,9,117.45,3777
22,490,7,20230615,20231029,12,Complete,2023-06-15 00:00:00,,10,115.90000000000001,3777
72,69,8,20231231,20240517,13,Complete,2023-12-31 00:00:00,,7,135.87,3778
72,293,8,20231231,20240517,13,Complete,2023-12-31 00:00:00,,10,170.30000000000001,3778
72,430,8,20231231,20240517,13,Complete,2023-12-31 00:00:00,,8,70.079999999999998,3778
94,101,9,20241101,,14,In Delivery,2024-11-01 00:00:00,,8,67.359999999999999,3779
94,284,9,20241101,,14,In Delivery,2024-11-01 00:00:00,,4,57.640000000000001,3779
94,417,9,20241101,,14,In Delivery,2024-11-01 00:00:00,,3,48.93,3779
6,49,,20231012,,15,Cancelled,2023-10-12 00:00:00,2023-11-16 00:00:00,7,106.40000000000001,3780
6,81,,20231012,,15,Cancelled,2023-10-12 00:00:00,2023-11-16 00:00:00,4,40.68,3780
6,152,,20231012,,15,Cancelled,2023-10-12 00:00:00,2023-11-16 00:00:00,5,64.900000000000006,3780
99,74,10,20241230,,16,In Delivery,2024-12-30 00:00:00,,5,62.200000000000003,3781
99,86,10,20241230,,16,In Delivery,2024-12-30 00:00:00,,6,44.520000000000003,3781
99,239,10,20241230,,16,In Delivery,2024-12-30 00:00:00,,7,51.659999999999997,3781
76,53,11,20241107,,17,In Delivery,2024-11-07 00:00:00,,9,131.84999999999999,3782
20,227,12,20230831,20241011,18,Complete,2023-08-31 00:00:00,,9,54,3783
20,385,12,20230831,20241011,18,Complete,2023-08-31 00:00:00,,3,12.06,3783
9,453,,20241010,,19,In Process,2024-10-10 00:00:00,,5,61.149999999999999,3784
42,206,13,20230218,20230225,20,Complete,2023-02-18 00:00:00,,6,62.219999999999999,3785
42,285,13,20230218,20230225,20,Complete,2023-02-18 00:00:00,,5,92.150000000000006,3785
42,378,13,20230218,20230225,20,Complete,2023-02-18 00:00:00,,7,28.559999999999999,3785
42,421,13,20230218,20230225,20,Complete,2023-02-18 00:00:00,,6,31.98,3785
42,484,13,20230218,20230225,20,Complete,2023-02-18 00:00:00,,5,84.950000000000003,3785
91,235,,20241018,,21,In Process,2024-10-18 00:00:00,,6,116.16,3786
91,317,,20241018,,21,In Process,2024-10-18 00:00:00,,1,2.8500000000000001,3786
43,44,14,20241208,20241231,22,Complete,2024-12-08 00:00:00,,6,93.780000000000001,3787
43,458,14,20241208,20241231,22,Complete,2024-12-08 00:00:00,,9,59.670000000000002,3787
11,28,,20230610,,23,Cancelled,2023-06-10 00:00:00,2024-11-13 00:00:00,1,10.880000000000001,3788
11,176,,20230610,,23,Cancelled,2023-06-10 00:00:00,2024-11-13 00:00:00,1,14.039999999999999,3788
11,361,,20230610,,23,Cancelled,2023-06-10 00:00:00,2024-11-13 00:00:00,5,67.049999999999997,3788
56,182,,20241010,,24,In Process,2024-10-10 00:00:00,,7,71.049999999999997,3789
56,272,,20241010,,24,In Process,2024-10-10 00:00:00,,5,42.549999999999997,3789
40,124,,20241126,,25,Cancelled,2024-11-26 00:00:00,2024-12-22 00:00:00,2,24.539999999999999,3790
40,150,,20241126,,25,Cancelled,2024-11-26 00:00:00,2024-12-22 00:00:00,2,15.4,3790
40,174,,20241126,,25,Cancelled,2024-11-26 00:00:00,2024-12-22 00:00:00,5,71.549999999999997,3790
40,396,,20241126,,25,Cancelled,2024-11-26 00:00:00,2024-12-22 00:00:00,2,25.66,3790
48,223,,20240502,,26,Cancelled,2024-05-02 00:00:00,2024-11-21 00:00:00,5,63.450000000000003,3791
48,270,,20240502,,26,Cancelled,2024-05-02 00:00:00,2024-11-21 00:00:00,8,59.359999999999999,3791
32,322,,20230523,,27,Cancelled,2023-05-23 00:00:00,2023-07-26 00:00:00,6,101.76000000000001,3792
70,98,15,20240504,20240819,28,Complete,2024-05-04 00:00:00,,2,28.760000000000002,3793
72,238,16,20240828,20240907,29,Complete,2024-08-28 00:00:00,,4,42.359999999999999,3794
72,439,16,20240828,20240907,29,Complete,2024-08-28 00:00:00,,8,30.559999999999999,3794
69,65,,20240814,,30,Cancelled,2024-08-14 00:00:00,2024-09-11 00:00:00,10,119,3795
69,154,,20240814,,30,Cancelled,2024-08-14 00:00:00,2024-09-11 00:00:00,8,63.039999999999999,3795
69,296,,20240814,,30,Cancelled,2024-08-14 00:00:00,2024-09-11 00:00:00,7,127.61,3795
69,300,,20240814,,30,Cancelled,2024-08-14 00:00:00,2024-09-11 00:00:00,10,107,3795
69,315,,20240814,,30,Cancelled,2024-08-14 00:00:00,2024-09-11 00:00:00,4,12.48,3795
57,240,,20240530,,31,Cancelled,2024-05-30 00:00:00,2024-09-08 00:00:00,10,116.09999999999999,3796
57,266,,20240530,,31,Cancelled,2024-05-30 00:00:00,2024-09-08 00:00:00,9,53.640000000000001,3796
60,66,,20240325,,32,Cancelled,2024-03-25 00:00:00,2024-07-02 00:00:00,6,62.039999999999999,3797
60,114,,20240325,,32,Cancelled,2024-03-25 00:00:00,2024-07-02 00:00:00,7,118.93000000000001,3797
60,428,,20240325,,32,Cancelled,2024-03-25 00:00:00,2024-07-02 00:00:00,4,15.880000000000001,3797
60,486,,20240325,,32,Cancelled,2024-03-25 00:00:00,2024-07-02 00:00:00,8,113.12,3797
36,13,17,20241114,,33,In Delivery,2024-11-14 00:00:00,,9,127.34999999999999,3798
36,182,17,20241114,,33,In Delivery,2024-11-14 00:00:00,,5,50.75,3798
36,244,17,20241114,,33,In Delivery,2024-11-14 00:00:00,,9,174.24000000000001,3798
36,267,17,20241114,,33,In Delivery,2024-11-14 00:00:00,,6,94.019999999999996,3798
36,358,17,20241114,,33,In Delivery,2024-11-14 00:00:00,,3,5.04,3798
16,205,,20241128,,34,In Process,2024-11-28 00:00:00,,8,35.68,3799
99,62,,20241123,,35,In Process,2024-11-23 00:00:00,,10,60.5,3800
99,80,,20241123,,35,In Process,2024-11-23 00:00:00,,7,53.479999999999997,3800
99,416,,20241123,,35,In Process,2024-11-23 00:00:00,,1,13.52,3800
56,144,,20241130,,36,In Process,2024-11-30 00:00:00,,7,69.790000000000006,3801
