Order_ID,OrderDate,Status,EventTimestamp,CancelledDate,Customer_ID,Delivery_ID
1,2024-12-18 00:00:00,In Delivery,2024-06-13 12:30:33,,11,1
2,2024-11-03 00:00:00,In Process,2024-06-13 12:30:33,,93,
3,2024-11-27 00:00:00,In Delivery,2024-06-13 12:30:33,,19,2
4,2024-11-10 00:00:00,In Delivery,2024-06-13 12:30:33,,73,3
5,2024-03-03 00:00:00,Complete,2024-06-13 12:30:33,,43,4
6,2024-03-18 00:00:00,Cancelled,2024-06-13 12:30:33,2024-08-27 00:00:00,54,
7,2024-10-14 00:00:00,In Process,2024-06-13 12:30:33,,74,
8,2023-11-25 00:00:00,Complete,2024-06-13 12:30:33,,23,5
9,2024-11-13 00:00:00,In Delivery,2024-06-13 12:30:33,,3,6
10,2023-07-12 00:00:00,Cancelled,2024-06-13 12:30:33,2023-10-08 00:00:00,94,
11,2023-11-17 00:00:00,Cancelled,2024-06-13 12:30:33,2024-04-16 00:00:00,37,
12,2023-06-15 00:00:00,Complete,2024-06-13 12:30:33,,22,7
13,2023-12-31 00:00:00,Complete,2024-06-13 12:30:33,,72,8
14,2024-11-01 00:00:00,In Delivery,2024-06-13 12:30:33,,94,9
15,2023-10-12 00:00:00,Cancelled,2024-06-13 12:30:33,2023-11-16 00:00:00,6,
16,2024-12-30 00:00:00,In Delivery,2024-06-13 12:30:33,,99,10
17,2024-11-07 00:00:00,In Delivery,2024-06-13 12:30:33,,76,11
18,2023-08-31 00:00:00,Complete,2024-06-13 12:30:33,,20,12
19,2024-10-10 00:00:00,In Process,2024-06-13 12:30:33,,9,
20,2023-02-18 00:00:00,Complete,2024-06-13 12:30:33,,42,13
21,2024-10-18 00:00:00,In Process,2024-06-13 12:30:33,,91,
22,2024-12-08 00:00:00,Complete,2024-06-13 12:30:33,,43,14
23,2023-06-10 00:00:00,Cancelled,2024-06-13 12:30:33,2024-11-13 00:00:00,11,
24,2024-10-10 00:00:00,In Process,2024-06-13 12:30:33,,56,
25,2024-11-26 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-22 00:00:00,40,
26,2024-05-02 00:00:00,Cancelled,2024-06-13 12:30:33,2024-11-21 00:00:00,48,
27,2023-05-23 00:00:00,Cancelled,2024-06-13 12:30:33,2023-07-26 00:00:00,32,
28,2024-05-04 00:00:00,Complete,2024-06-13 12:30:33,,70,15
29,2024-08-28 00:00:00,Complete,2024-06-13 12:30:33,,72,16
30,2024-08-14 00:00:00,Cancelled,2024-06-13 12:30:33,2024-09-11 00:00:00,69,
31,2024-05-30 00:00:00,Cancelled,2024-06-13 12:30:33,2024-09-08 00:00:00,57,
32,2024-03-25 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-02 00:00:00,60,
33,2024-11-14 00:00:00,In Delivery,2024-06-13 12:30:33,,36,17
34,2024-11-28 00:00:00,In Process,2024-06-13 12:30:33,,16,
35,2024-11-23 00:00:00,In Process,2024-06-13 12:30:33,,99,
36,2024-11-30 00:00:00,In Process,2024-06-13 12:30:33,,56,
37,2023-02-05 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-09 00:00:00,8,
38,2024-12-03 00:00:00,In Delivery,2024-06-13 12:30:33,,93,18
39,2024-08-03 00:00:00,Complete,2024-06-13 12:30:33,,30,19
40,2023-12-13 00:00:00,Cancelled,2024-06-13 12:30:33,2024-03-12 00:00:00,6,
41,2024-10-03 00:00:00,In Process,2024-06-13 12:30:33,,89,
42,2024-01-09 00:00:00,Cancelled,2024-06-13 12:30:33,2024-05-11 00:00:00,40,
43,2023-12-18 00:00:00,Complete,2024-06-13 12:30:33,,71,20
44,2024-12-27 00:00:00,In Delivery,2024-06-13 12:30:33,,100,21
45,2024-11-24 00:00:00,In Process,2024-06-13 12:30:33,,46,
46,2024-01-25 00:00:00,Complete,2024-06-13 12:30:33,,49,22
47,2024-11-03 00:00:00,In Process,2024-06-13 12:30:33,,36,
48,2023-06-14 00:00:00,Cancelled,2024-06-13 12:30:33,2024-01-31 00:00:00,55,
49,2024-11-21 00:00:00,In Process,2024-06-13 12:30:33,,26,
50,2024-10-30 00:00:00,In Process,2024-06-13 12:30:33,,18,
51,2024-10-29 00:00:00,In Process,2024-06-13 12:30:33,,18,
52,2024-11-18 00:00:00,In Process,2024-06-13 12:30:33,,64,
53,2024-02-26 00:00:00,Complete,2024-06-13 12:30:33,,60,23
54,2024-08-23 00:00:00,Complete,2024-06-13 12:30:33,,41,24
55,2024-10-23 00:00:00,In Process,2024-06-13 12:30:33,,76,
56,2024-12-23 00:00:00,Complete,2024-06-13 12:30:33,,40,25
57,2024-10-11 00:00:00,In Process,2024-06-13 12:30:33,,45,
58,2024-11-22 00:00:00,In Process,2024-06-13 12:30:33,,98,
59,2024-10-11 00:00:00,In Process,2024-06-13 12:30:33,,88,
60,2023-02-09 00:00:00,Cancelled,2024-06-13 12:30:33,2023-04-30 00:00:00,85,
61,2023-04-03 00:00:00,Complete,2024-06-13 12:30:33,,54,26
62,2024-01-07 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-29 00:00:00,17,
63,2024-10-17 00:00:00,In Process,2024-06-13 12:30:33,,1,
64,2024-07-02 00:00:00,Complete,2024-06-13 12:30:33,,56,27
65,2024-12-27 00:00:00,In Delivery,2024-06-13 12:30:33,,16,28
66,2024-11-04 00:00:00,In Process,2024-06-13 12:30:33,,100,
67,2024-08-22 00:00:00,Cancelled,2024-06-13 12:30:33,2024-10-08 00:00:00,38,
68,2024-11-26 00:00:00,In Delivery,2024-06-13 12:30:33,,5,29
69,2024-11-09 00:00:00,In Process,2024-06-13 12:30:33,,41,
70,2024-09-25 00:00:00,Complete,2024-06-13 12:30:33,,70,30
71,2024-11-27 00:00:00,In Delivery,2024-06-13 12:30:33,,57,31
72,2023-08-23 00:00:00,Cancelled,2024-06-13 12:30:33,2024-05-13 00:00:00,20,
73,2024-10-13 00:00:00,In Process,2024-06-13 12:30:33,,9,
74,2024-12-30 00:00:00,In Delivery,2024-06-13 12:30:33,,61,32
75,2023-05-26 00:00:00,Cancelled,2024-06-13 12:30:33,2024-08-04 00:00:00,5,
76,2024-10-19 00:00:00,In Process,2024-06-13 12:30:33,,23,
77,2024-11-16 00:00:00,In Process,2024-06-13 12:30:33,,24,
78,2024-01-19 00:00:00,Cancelled,2024-06-13 12:30:33,2024-11-05 00:00:00,54,
79,2024-10-07 00:00:00,In Process,2024-06-13 12:30:33,,50,
80,2024-12-16 00:00:00,In Delivery,2024-06-13 12:30:33,,53,33
81,2024-11-01 00:00:00,In Delivery,2024-06-13 12:30:33,,19,34
82,2024-08-07 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-16 00:00:00,30,
83,2024-10-21 00:00:00,In Process,2024-06-13 12:30:33,,19,
84,2024-10-14 00:00:00,In Process,2024-06-13 12:30:33,,37,
85,2024-11-27 00:00:00,In Process,2024-06-13 12:30:33,,63,
86,2023-09-30 00:00:00,Cancelled,2024-06-13 12:30:33,2024-04-28 00:00:00,16,
87,2024-11-02 00:00:00,In Delivery,2024-06-13 12:30:33,,70,35
88,2023-11-17 00:00:00,Complete,2024-06-13 12:30:33,,15,36
89,2024-06-03 00:00:00,Cancelled,2024-06-13 12:30:33,2024-10-14 00:00:00,66,
90,2024-01-30 00:00:00,Complete,2024-06-13 12:30:33,,83,37
91,2024-10-11 00:00:00,In Process,2024-06-13 12:30:33,,6,
92,2024-10-28 00:00:00,In Process,2024-06-13 12:30:33,,62,
93,2023-06-04 00:00:00,Complete,2024-06-13 12:30:33,,84,38
94,2024-11-01 00:00:00,In Delivery,2024-06-13 12:30:33,,36,39
95,2023-07-14 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-14 00:00:00,98,
96,2024-10-24 00:00:00,Cancelled,2024-06-13 12:30:33,2024-11-18 00:00:00,5,
97,2023-02-23 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-18 00:00:00,99,
98,2024-11-24 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-18 00:00:00,10,
99,2024-12-20 00:00:00,In Delivery,2024-06-13 12:30:33,,17,40
100,2024-12-26 00:00:00,In Delivery,2024-06-13 12:30:33,,53,41
101,2024-07-30 00:00:00,Complete,2024-06-13 12:30:33,,55,42
102,2024-12-23 00:00:00,In Delivery,2024-06-13 12:30:33,,72,43
103,2024-10-02 00:00:00,In Process,2024-06-13 12:30:33,,49,
104,2024-04-20 00:00:00,Cancelled,2024-06-13 12:30:33,2024-05-07 00:00:00,16,
105,2024-08-09 00:00:00,Complete,2024-06-13 12:30:33,,63,44
106,2024-11-15 00:00:00,In Delivery,2024-06-13 12:30:33,,27,45
107,2024-12-18 00:00:00,Complete,2024-06-13 12:30:33,,46,46
108,2024-11-11 00:00:00,Complete,2024-06-13 12:30:33,,48,47
109,2024-12-22 00:00:00,In Delivery,2024-06-13 12:30:33,,36,48
110,2023-10-15 00:00:00,Complete,2024-06-13 12:30:33,,79,49
111,2024-10-02 00:00:00,In Process,2024-06-13 12:30:33,,17,
112,2024-12-18 00:00:00,In Delivery,2024-06-13 12:30:33,,95,50
113,2024-12-21 00:00:00,In Delivery,2024-06-13 12:30:33,,13,51
114,2023-10-20 00:00:00,Complete,2024-06-13 12:30:33,,28,52
115,2024-12-09 00:00:00,In Delivery,2024-06-13 12:30:33,,13,53
116,2023-07-19 00:00:00,Complete,2024-06-13 12:30:33,,26,54
117,2024-03-06 00:00:00,Complete,2024-06-13 12:30:33,,72,55
118,2024-11-09 00:00:00,In Delivery,2024-06-13 12:30:33,,77,56
119,2024-12-09 00:00:00,In Delivery,2024-06-13 12:30:33,,38,57
120,2024-11-22 00:00:00,In Delivery,2024-06-13 12:30:33,,97,58
121,2024-11-30 00:00:00,In Delivery,2024-06-13 12:30:33,,84,59
122,2024-12-23 00:00:00,In Delivery,2024-06-13 12:30:33,,5,60
123,2024-12-03 00:00:00,In Delivery,2024-06-13 12:30:33,,28,61
124,2024-12-16 00:00:00,In Delivery,2024-06-13 12:30:33,,92,62
125,2024-11-05 00:00:00,In Delivery,2024-06-13 12:30:33,,78,63
126,2024-11-28 00:00:00,In Process,2024-06-13 12:30:33,,100,
127,2024-10-18 00:00:00,In Process,2024-06-13 12:30:33,,94,
128,2023-07-19 00:00:00,Cancelled,2024-06-13 12:30:33,2024-11-27 00:00:00,85,
129,2023-03-31 00:00:00,Cancelled,2024-06-13 12:30:33,2023-08-23 00:00:00,29,
130,2023-06-07 00:00:00,Complete,2024-06-13 12:30:33,,14,64
131,2024-06-23 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-13 00:00:00,59,
132,2023-06-05 00:00:00,Cancelled,2024-06-13 12:30:33,2023-11-27 00:00:00,19,
133,2023-08-13 00:00:00,Cancelled,2024-06-13 12:30:33,2024-03-22 00:00:00,19,
134,2024-11-23 00:00:00,In Process,2024-06-13 12:30:33,,39,
135,2024-11-06 00:00:00,In Process,2024-06-13 12:30:33,,14,
136,2024-12-13 00:00:00,In Delivery,2024-06-13 12:30:33,,41,65
137,2024-08-01 00:00:00,Complete,2024-06-13 12:30:33,,34,66
138,2024-11-29 00:00:00,In Delivery,2024-06-13 12:30:33,,87,67
139,2024-04-24 00:00:00,Complete,2024-06-13 12:30:33,,42,68
140,2023-07-08 00:00:00,Complete,2024-06-13 12:30:33,,14,69
141,2024-11-08 00:00:00,In Process,2024-06-13 12:30:33,,63,
142,2024-12-31 00:00:00,In Delivery,2024-06-13 12:30:33,,89,70
143,2024-11-23 00:00:00,In Process,2024-06-13 12:30:33,,62,
144,2023-03-16 00:00:00,Complete,2024-06-13 12:30:33,,68,71
145,2024-12-30 00:00:00,In Delivery,2024-06-13 12:30:33,,77,72
146,2024-06-15 00:00:00,Cancelled,2024-06-13 12:30:33,2024-10-20 00:00:00,79,
147,2024-11-15 00:00:00,In Delivery,2024-06-13 12:30:33,,59,73
148,2023-02-10 00:00:00,Cancelled,2024-06-13 12:30:33,2024-02-01 00:00:00,60,
149,2024-03-06 00:00:00,Cancelled,2024-06-13 12:30:33,2024-03-16 00:00:00,96,
150,2024-11-26 00:00:00,In Delivery,2024-06-13 12:30:33,,82,74
151,2024-10-30 00:00:00,In Process,2024-06-13 12:30:33,,81,
152,2023-11-18 00:00:00,Complete,2024-06-13 12:30:33,,93,75
153,2024-10-06 00:00:00,In Process,2024-06-13 12:30:33,,74,
154,2024-12-13 00:00:00,In Delivery,2024-06-13 12:30:33,,94,76
155,2024-01-31 00:00:00,Complete,2024-06-13 12:30:33,,97,77
156,2024-10-25 00:00:00,In Process,2024-06-13 12:30:33,,79,
157,2024-10-31 00:00:00,In Process,2024-06-13 12:30:33,,78,
158,2024-12-04 00:00:00,In Delivery,2024-06-13 12:30:33,,37,78
159,2024-11-22 00:00:00,In Delivery,2024-06-13 12:30:33,,25,79
160,2024-10-19 00:00:00,In Process,2024-06-13 12:30:33,,51,
161,2024-06-22 00:00:00,Complete,2024-06-13 12:30:33,,84,80
162,2024-12-13 00:00:00,In Delivery,2024-06-13 12:30:33,,87,81
163,2024-11-07 00:00:00,In Delivery,2024-06-13 12:30:33,,74,82
164,2024-11-04 00:00:00,In Process,2024-06-13 12:30:33,,41,
165,2023-02-19 00:00:00,Cancelled,2024-06-13 12:30:33,2023-04-30 00:00:00,71,
166,2024-08-28 00:00:00,Complete,2024-06-13 12:30:33,,71,83
167,2023-01-06 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-26 00:00:00,76,
168,2023-09-12 00:00:00,Complete,2024-06-13 12:30:33,,98,84
169,2024-10-01 00:00:00,In Process,2024-06-13 12:30:33,,77,
170,2024-11-29 00:00:00,In Delivery,2024-06-13 12:30:33,,1,85
171,2024-09-03 00:00:00,Complete,2024-06-13 12:30:33,,73,86
172,2024-10-24 00:00:00,In Process,2024-06-13 12:30:33,,76,
173,2024-11-30 00:00:00,In Delivery,2024-06-13 12:30:33,,72,87
174,2024-07-27 00:00:00,Complete,2024-06-13 12:30:33,,53,88
175,2024-10-28 00:00:00,In Process,2024-06-13 12:30:33,,1,
176,2023-01-27 00:00:00,Complete,2024-06-13 12:30:33,,27,89
177,2023-01-25 00:00:00,Cancelled,2024-06-13 12:30:33,2023-05-25 00:00:00,77,
178,2023-08-04 00:00:00,Complete,2024-06-13 12:30:33,,13,90
179,2023-08-10 00:00:00,Complete,2024-06-13 12:30:33,,61,91
180,2023-08-17 00:00:00,Cancelled,2024-06-13 12:30:33,2024-01-29 00:00:00,79,
181,2024-06-11 00:00:00,Complete,2024-06-13 12:30:33,,50,92
182,2024-11-22 00:00:00,In Process,2024-06-13 12:30:33,,12,
183,2024-01-25 00:00:00,Cancelled,2024-06-13 12:30:33,2024-10-02 00:00:00,88,
184,2024-11-14 00:00:00,In Delivery,2024-06-13 12:30:33,,2,93
185,2024-12-26 00:00:00,In Delivery,2024-06-13 12:30:33,,14,94
186,2024-11-29 00:00:00,In Process,2024-06-13 12:30:33,,37,
187,2024-11-19 00:00:00,In Process,2024-06-13 12:30:33,,41,
188,2024-12-15 00:00:00,In Delivery,2024-06-13 12:30:33,,80,95
189,2023-01-04 00:00:00,Complete,2024-06-13 12:30:33,,60,96
190,2024-11-04 00:00:00,In Process,2024-06-13 12:30:33,,6,
191,2024-11-07 00:00:00,In Process,2024-06-13 12:30:33,,45,
192,2023-04-30 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-08 00:00:00,96,
193,2024-11-13 00:00:00,In Process,2024-06-13 12:30:33,,28,
194,2024-11-08 00:00:00,In Process,2024-06-13 12:30:33,,99,
195,2024-11-09 00:00:00,In Process,2024-06-13 12:30:33,,20,
196,2024-12-23 00:00:00,In Delivery,2024-06-13 12:30:33,,62,97
197,2023-10-25 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-27 00:00:00,3,
198,2024-08-06 00:00:00,Cancelled,2024-06-13 12:30:33,2024-10-25 00:00:00,97,
199,2024-08-17 00:00:00,Complete,2024-06-13 12:30:33,,45,98
200,2024-10-21 00:00:00,In Process,2024-06-13 12:30:33,,42,
201,2023-05-06 00:00:00,Cancelled,2024-06-13 12:30:33,2024-04-11 00:00:00,32,
202,2024-12-02 00:00:00,In Delivery,2024-06-13 12:30:33,,10,99
203,2024-11-09 00:00:00,In Delivery,2024-06-13 12:30:33,,66,100
204,2024-01-17 00:00:00,Complete,2024-06-13 12:30:33,,59,101
205,2024-11-02 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-21 00:00:00,60,
206,2024-02-27 00:00:00,Complete,2024-06-13 12:30:33,,57,102
207,2024-08-18 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-16 00:00:00,76,
208,2023-10-11 00:00:00,Complete,2024-06-13 12:30:33,,62,103
209,2024-10-06 00:00:00,Cancelled,2024-06-13 12:30:33,2024-11-12 00:00:00,28,
210,2024-10-30 00:00:00,In Process,2024-06-13 12:30:33,,1,
211,2024-01-22 00:00:00,Cancelled,2024-06-13 12:30:33,2024-11-03 00:00:00,53,
212,2024-11-15 00:00:00,In Delivery,2024-06-13 12:30:33,,38,104
213,2023-11-09 00:00:00,Complete,2024-06-13 12:30:33,,45,105
214,2024-07-06 00:00:00,Cancelled,2024-06-13 12:30:33,2024-10-30 00:00:00,17,
215,2024-04-04 00:00:00,Complete,2024-06-13 12:30:33,,99,106
216,2024-10-16 00:00:00,Complete,2024-06-13 12:30:33,,7,107
217,2024-09-24 00:00:00,Complete,2024-06-13 12:30:33,,14,108
218,2024-07-18 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-22 00:00:00,3,
219,2024-04-30 00:00:00,Complete,2024-06-13 12:30:33,,65,109
220,2023-12-22 00:00:00,Complete,2024-06-13 12:30:33,,99,110
221,2023-08-18 00:00:00,Complete,2024-06-13 12:30:33,,97,111
222,2024-10-02 00:00:00,In Process,2024-06-13 12:30:33,,53,
223,2024-11-15 00:00:00,In Delivery,2024-06-13 12:30:33,,51,112
224,2024-11-04 00:00:00,In Process,2024-06-13 12:30:33,,75,
225,2023-12-09 00:00:00,Complete,2024-06-13 12:30:33,,89,113
226,2024-11-05 00:00:00,Complete,2024-06-13 12:30:33,,72,114
227,2023-08-15 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-03 00:00:00,57,
228,2024-03-25 00:00:00,Complete,2024-06-13 12:30:33,,13,115
229,2024-11-29 00:00:00,In Delivery,2024-06-13 12:30:33,,33,116
230,2024-10-23 00:00:00,In Process,2024-06-13 12:30:33,,93,
231,2024-12-02 00:00:00,In Delivery,2024-06-13 12:30:33,,8,117
232,2024-12-09 00:00:00,Cancelled,2024-06-13 12:30:33,2024-12-24 00:00:00,80,
233,2024-10-17 00:00:00,In Process,2024-06-13 12:30:33,,78,
234,2023-05-01 00:00:00,Cancelled,2024-06-13 12:30:33,2024-07-27 00:00:00,46,
235,2024-12-15 00:00:00,In Delivery,2024-06-13 12:30:33,,63,118
236,2023-06-21 00:00:00,Cancelled,2024-06-13 12:30:33,2024-02-11 00:00:00,53,
237,2024-11-04 00:00:00,In Delivery,2024-06-13 12:30:33,,41,119
238,2024-10-21 00:00:00,In Process,2024-06-13 12:30:33,,81,
239,2024-12-02 00:00:00,In Delivery,2024-06-13 12:30:33,,92,120
240,2024-11-23 00:00:00,In Process,2024-06-13 12:30:33,,54,
241,2023-07-07 00:00:00,Cancelled,2024-06-13 12:30:33,2024-09-27 00:00:00,81,
242,2024-11-03 00:00:00,In Process,2024-06-13 12:30:33,,47,
243,2023-06-04 00:00:00,Complete,2024-06-13 12:30:33,,21,121
244,2023-10-30 00:00:00,Complete,2024-06-13 12:30:33,,85,122
245,2024-04-15 00:00:00,Complete,2024-06-13 12:30:33,,91,123
246,2024-08-29 00:00:00,Cancelled,2024-06-13 12:30:33,2024-10-09 00:00:00,62,
247,2024-03-06 00:00:00,Complete,2024-06-13 12:30:33,,70,124
