Production_ID,ProductionStatus,Order_ID,Member_ID,EventTimestamp
1,Complete,377,40,2024-06-13
2,Complete,412,1,2024-06-13
3,In Process,1558,6,2024-06-13
4,Cancelled,950,14,2024-06-13
5,In Process,370,7,2024-06-13
6,Complete,250,3,2024-06-13
7,In Delivery,1410,38,2024-06-13
8,In Delivery,1589,5,2024-06-13
9,Complete,370,19,2024-06-13
10,In Delivery,1722,38,2024-06-13
11,In Delivery,1573,24,2024-06-13
12,In Delivery,568,35,2024-06-13
13,In Process,1988,14,2024-06-13
14,Cancelled,1790,34,2024-06-13
15,In Delivery,736,20,2024-06-13
16,Cancelled,1371,27,2024-06-13
17,Complete,1703,2,2024-06-13
18,In Delivery,1073,8,2024-06-13
19,In Delivery,816,17,2024-06-13
20,In Process,114,4,2024-06-13
21,Complete,619,40,2024-06-13
22,In Process,774,23,2024-06-13
23,In Process,709,16,2024-06-13
24,Cancelled,1261,36,2024-06-13
25,Complete,1055,28,2024-06-13
26,Complete,1932,30,2024-06-13
27,Cancelled,1160,11,2024-06-13
28,In Delivery,565,18,2024-06-13
29,In Process,1650,2,2024-06-13
30,Complete,1517,32,2024-06-13
31,Complete,616,39,2024-06-13
32,Complete,512,10,2024-06-13
33,Complete,1971,16,2024-06-13
34,In Delivery,1833,35,2024-06-13
35,Cancelled,225,16,2024-06-13
36,In Process,1288,2,2024-06-13
37,Complete,1504,22,2024-06-13
38,Complete,1708,20,2024-06-13
39,In Delivery,1965,40,2024-06-13
40,In Process,1878,5,2024-06-13
41,Complete,1271,32,2024-06-13
42,Cancelled,759,1,2024-06-13
43,In Delivery,560,4,2024-06-13
44,In Process,102,15,2024-06-13
45,Cancelled,1336,18,2024-06-13
46,In Process,818,30,2024-06-13
47,Complete,623,8,2024-06-13
48,In Delivery,1696,20,2024-06-13
49,In Process,1713,20,2024-06-13
50,Complete,359,40,2024-06-13
51,Complete,658,4,2024-06-13
52,Complete,1510,26,2024-06-13
53,In Process,885,34,2024-06-13
54,Cancelled,38,1,2024-06-13
55,Complete,784,34,2024-06-13
56,Complete,548,7,2024-06-13
57,Complete,84,20,2024-06-13
58,In Delivery,1123,7,2024-06-13
59,Complete,1979,29,2024-06-13
60,In Delivery,1458,37,2024-06-13
61,In Delivery,1752,23,2024-06-13
62,Complete,410,24,2024-06-13
63,In Delivery,1638,2,2024-06-13
64,Cancelled,942,37,2024-06-13
65,In Delivery,1913,38,2024-06-13
66,Complete,1401,25,2024-06-13
67,In Delivery,1922,2,2024-06-13
68,Cancelled,793,23,2024-06-13
69,Cancelled,110,39,2024-06-13
70,Complete,1715,9,2024-06-13
71,In Delivery,1353,35,2024-06-13
72,Complete,863,13,2024-06-13
73,In Process,1537,27,2024-06-13
74,In Delivery,661,39,2024-06-13
75,In Delivery,1972,39,2024-06-13
76,Complete,924,39,2024-06-13
77,Cancelled,1328,13,2024-06-13
78,In Process,1277,30,2024-06-13
79,Cancelled,163,37,2024-06-13
80,Complete,287,15,2024-06-13
81,Cancelled,1421,11,2024-06-13
82,Cancelled,973,8,2024-06-13
83,Cancelled,1060,29,2024-06-13
84,Complete,1134,39,2024-06-13
85,Complete,1826,24,2024-06-13
86,Complete,1170,36,2024-06-13
87,In Process,1305,9,2024-06-13
88,Complete,819,27,2024-06-13
89,In Delivery,919,18,2024-06-13
90,In Delivery,118,29,2024-06-13
91,Cancelled,354,5,2024-06-13
92,Cancelled,505,9,2024-06-13
93,In Delivery,1528,32,2024-06-13
94,In Process,549,21,2024-06-13
95,In Delivery,1410,35,2024-06-13
96,Complete,1083,10,2024-06-13
97,In Delivery,939,11,2024-06-13
98,In Process,1066,15,2024-06-13
99,In Delivery,54,27,2024-06-13
100,Complete,1414,4,2024-06-13
101,Cancelled,1305,29,2024-06-13
102,Cancelled,722,13,2024-06-13
103,In Process,1771,27,2024-06-13
104,In Process,465,13,2024-06-13
105,Complete,151,20,2024-06-13
106,Cancelled,451,35,2024-06-13
107,In Delivery,1153,19,2024-06-13
108,In Process,523,1,2024-06-13
109,Complete,985,33,2024-06-13
110,In Process,1802,2,2024-06-13
111,Cancelled,779,32,2024-06-13
112,Complete,1945,29,2024-06-13
113,In Delivery,99,13,2024-06-13
114,In Process,1211,38,2024-06-13
115,In Process,435,35,2024-06-13
116,Cancelled,1786,2,2024-06-13
117,In Process,137,4,2024-06-13
118,Cancelled,1830,19,2024-06-13
119,Cancelled,472,6,2024-06-13
120,Cancelled,1514,19,2024-06-13
121,Complete,53,5,2024-06-13
122,In Delivery,405,34,2024-06-13
123,In Delivery,363,33,2024-06-13
124,Cancelled,543,4,2024-06-13
125,In Delivery,52,20,2024-06-13
126,Complete,483,36,2024-06-13
127,Complete,457,9,2024-06-13
128,Complete,130,5,2024-06-13
129,In Delivery,960,19,2024-06-13
130,Cancelled,783,20,2024-06-13
131,Complete,1831,30,2024-06-13
132,In Process,602,11,2024-06-13
133,Complete,223,21,2024-06-13
134,Complete,960,24,2024-06-13
135,In Process,176,19,2024-06-13
136,Complete,1032,27,2024-06-13
137,In Process,1483,12,2024-06-13
138,In Process,567,36,2024-06-13
139,In Delivery,1279,31,2024-06-13
140,Complete,1082,30,2024-06-13
141,Complete,777,21,2024-06-13
142,In Process,1465,8,2024-06-13
143,Complete,1885,31,2024-06-13
144,Complete,1330,34,2024-06-13
145,Complete,986,3,2024-06-13
146,In Process,1457,38,2024-06-13
147,In Process,1836,32,2024-06-13
148,In Process,571,11,2024-06-13
149,In Delivery,1366,10,2024-06-13
150,In Delivery,77,21,2024-06-13
151,In Process,1280,25,2024-06-13
152,In Delivery,968,3,2024-06-13
153,In Process,1177,11,2024-06-13
154,In Process,1958,31,2024-06-13
155,In Delivery,98,39,2024-06-13
156,Complete,527,27,2024-06-13
157,Cancelled,989,31,2024-06-13
158,In Delivery,1283,23,2024-06-13
159,Complete,1605,23,2024-06-13
160,In Delivery,783,23,2024-06-13
161,Cancelled,235,22,2024-06-13
162,In Process,1519,30,2024-06-13
163,Complete,1347,37,2024-06-13
164,In Delivery,1222,36,2024-06-13
165,In Delivery,350,29,2024-06-13
166,Complete,1580,14,2024-06-13
167,Cancelled,994,34,2024-06-13
168,Cancelled,215,4,2024-06-13
169,Cancelled,980,30,2024-06-13
170,In Process,1052,17,2024-06-13
171,In Process,591,16,2024-06-13
172,In Delivery,292,20,2024-06-13
173,In Process,1628,22,2024-06-13
174,Complete,1964,36,2024-06-13
175,In Process,348,21,2024-06-13
176,In Process,1542,9,2024-06-13
