Supplier_ID,Name,Phone,Email,Street,Number,City,EventTimestamp
1,"Alvarez, Russell and Wood",1216435529,"alvarez,russellandwood@example.com",Lopez Wall,53206,London,11/06/2024 15:54
2,SalazarYates,9.56711E+14,salazaryates@example.com,Gates Street,30917,Tokyo,11/06/2024 15:54
3,MaxwellHuynh,7415905562,maxwellhuynh@example.com,Debra Oval,635,New York,11/06/2024 15:54
4,"Campbell, Cummings and Hutchinson",6.76478E+14,"campbell,cummingsandhutchinson@example.com",Robert Haven,83005,Berlin,11/06/2024 15:54
5,Knapp Group,15056115313,knappgroup@example.com,Valdez Shores,208,Athens,11/06/2024 15:54
6,"Bridges, Burke and Jones",3822499293,"bridges,burkeandjones@example.com",Hicks Bypass,8855,Madrid,11/06/2024 15:54
7,WalkerGaines,0014484000187x2857,walkergaines@example.com,John Brook,159,Montreal,11/06/2024 15:54
8,VazquezMcintyre,(537)6592715x35866,vazquezmcintyre@example.com,Fitzgerald Valley,6098,Melbourne,11/06/2024 15:54
9,SwansonFord,296.793.6980x493,swansonford@example.com,Williams Mountain,895,Havana,11/06/2024 15:54
10,"Delgado, Cruz and Henson",7956243286x8309,"delgado,cruzandhenson@example.com",Hinton Forest,2095,Los Angeles,11/06/2024 15:54
11,HurstJones,+12487898780x1509,hurstjones@example.com,Rodney Lane,91384,Berlin,11/06/2024 15:54
12,CarrollBrady,9566811622,carrollbrady@example.com,Stokes Causeway,741,Tokyo,11/06/2024 15:54
13,Maxwell Inc,672.947.3751x13733,maxwellinc@example.com,Anderson Club,16111,Athens,11/06/2024 15:54
14,"Gomez, Stephenson and Miller",7898260768x106,"gomez,stephensonandmiller@example.com",Sonya Light,2167,London,11/06/2024 15:54
15,"Parker, Ellis and Smith",14876582416,"parker,ellisandsmith@example.com",Benjamin Prairie,56694,Montreal,11/06/2024 15:54
16,Meadows and Sons,(629)3170049,meadowsandsons@example.com,Jermaine Hollow,1050,Madrid,11/06/2024 15:54
17,Riley Ltd,9712870066x06619,rileyltd@example.com,Hendricks Mountain,2259,Havana,11/06/2024 15:54
18,Smith PLC,7038736606,smithplc@example.com,Jessica Coves,977,Melbourne,11/06/2024 15:54
19,"Cardenas, Perez and Reid",421.888.8095,"cardenas,perezandreid@example.com",Smith Divide,757,New York,11/06/2024 15:54
20,WagnerButler,0017645431863x549,wagnerbutler@example.com,Erica Park,9513,Los Angeles,11/06/2024 15:54
21,Rivera PLC,0014863310527x2136,riveraplc@example.com,Kylie Trail,503,Tokyo,11/06/2024 15:54
22,SmithOwen,0018505391964x62702,smithowen@example.com,Joseph View,36651,Athens,11/06/2024 15:54
23,NortonMendoza,294.715.5283x7598,nortonmendoza@example.com,Gentry Summit,11653,London,11/06/2024 15:54
24,HurstHuang,2784940072,hursthuang@example.com,Mcdowell Isle,7365,Montreal,11/06/2024 15:54
25,Jackson and Sons,8993680807,jacksonandsons@example.com,Jason Meadows,19229,Berlin,11/06/2024 15:54
26,HillGallagher,17923196318,hillgallagher@example.com,Michael Radial,280,Madrid,11/06/2024 15:54
27,Huff Ltd,0018726693609x795,huffltd@example.com,Friedman Circle,909,Melbourne,11/06/2024 15:54
28,MorrowMiller,+17849899059x54718,morrowmiller@example.com,Thompson Via,359,Havana,11/06/2024 15:54
29,"Tanner, Patel and Mendez",0019869513704x63946,"tanner,patelandmendez@example.com",Charles Viaduct,17715,Los Angeles,11/06/2024 15:54
30,Pearson Inc,7688604651,pearsoninc@example.com,Jonathan Squares,773,New York,11/06/2024 15:54
31,"Lawrence, Richards and Rogers",+14085175925x33679,"lawrence,richardsandrogers@example.com",Brittany Plains,6296,Tokyo,11/06/2024 15:54
32,Guerrero Ltd,1392217985,guerreroltd@example.com,Marissa Avenue,88614,Berlin,11/06/2024 15:54
33,Watkins PLC,9844255131,watkinsplc@example.com,Vincent Villages,591,Athens,11/06/2024 15:54
34,"Stewart, Rivera and Perez",0015206417074x5706,"stewart,riveraandperez@example.com",Joe Track,8322,London,11/06/2024 15:54
35,ChapmanPrice,0016789503806x084,chapmanprice@example.com,Garcia Orchard,3609,Madrid,11/06/2024 15:54
36,"Rocha, Stewart and Castillo",14525499690,"rocha,stewartandcastillo@example.com",Diane Circle,779,Montreal,11/06/2024 15:54
37,RomeroHaynes,0012853004862x5132,romerohaynes@example.com,Ochoa Greens,55959,Havana,11/06/2024 15:54
38,MartinezBanks,895.861.1534,martinezbanks@example.com,Christina Wall,63366,Melbourne,11/06/2024 15:54
39,VillaHansen,667.782.9434,villahansen@example.com,Cordova Estate,337,Los Angeles,11/06/2024 15:54
40,RosalesTaylor,739.560.9570x0725,rosalestaylor@example.com,Young Heights,5423,New York,11/06/2024 15:54
41,Barnes and Sons,(290)6626569x1844,barnesandsons@example.com,Moore Mountain,971,Tokyo,11/06/2024 15:54
42,Walker Group,3194919104,walkergroup@example.com,Nicholas Flats,9330,Berlin,11/06/2024 15:54
43,AyalaMartin,0013797978343x478,ayalamartin@example.com,Edward Ridge,67422,Athens,11/06/2024 15:54
44,Yang Group,5306251406,yanggroup@example.com,Peggy Wall,905,London,11/06/2024 15:54
45,KelleySmith,(757)7422045x836,kelleysmith@example.com,Randy Glen,8474,Madrid,11/06/2024 15:54
46,Kirk and Sons,(911)6752452,kirkandsons@example.com,Timothy Junction,6642,Montreal,11/06/2024 15:54
47,King PLC,9812155642x51006,kingplc@example.com,Brian Unions,3664,Havana,11/06/2024 15:54
48,KaneJohnson,7586621663x99232,kanejohnson@example.com,Mark Cliffs,58712,Melbourne,11/06/2024 15:54
49,Myers and Sons,15026280325,myersandsons@example.com,Barbara Mall,13813,Los Angeles,11/06/2024 15:54
50,"Harrell, Clark and Stewart",7896332745x162,"harrell,clarkandstewart@example.com",Glover Villages,643,New York,11/06/2024 15:54
